CUSTOMER_ID,CUSTOMER_NAME,TENURE,STREET,CITY,STATE,ZIP,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS
A00006283,Albert Wilkie,108,25 Church Street A, Pittsfield, MA,1201,H,Rent,MI
A00001581,Brent Lusk,100,33 Pond Avenue #804, Brookline, MA,2445,L,Own,LI
A00002003,Carlos Montello,36,11 Adams Street, Arlington, MA,2474,L,Mortgage,MI
A00004720,Stacey Lopez,51,10 Skyline Way, Hartford, VT,5001,L,Own,MI
A00004719,Claire Carter,92,68 Route 66, , VT,5149,L,Rent,HI
A00000481,Thomas Lancon,59,31 Hills Point Road, Charlotte, VT,5445,L,Own,LI
A00008902,Dorothy James,66,161 Creek Road, Middlebury, VT,5753,H,Own,HI
A00006528,Tori Mcbride,42,2868 Peak Road, Wheelock, VT,5851,L,Rent,LI
A00009116,John Flores,16,589 East Main Street, Newport, VT,5855,L,Mortgage,MI
A00000261,Michael Beltrami,13,210 Lacross Lane, Westmore, VT,5860,M,Mortgage,MI
A00007477,Anthony Carpenter,119,178 Old Homestead Road, Danville, VT,5873,H,Own,HI
A00007952,Janet Watts,14,200 Redwood Road, Manchester, CT,6040,M,Mortgage,MI
A00007184,Michael Kimball,19,42 Edison Road, Manchester, CT,6040,M,Mortgage,MI
A00002978,Mary Todd,85,32 Prospect Street #32, Manchester, CT,6040,L,Mortgage,MI
A00009265,Marshall Worm,69,119 Oakland Street, Manchester, CT,6042,H,Mortgage,MI
A00002740,Wayne Landrum,93,123 Elizabeth Drive, Manchester, CT,6042,L,Rent,HI
A00003565,Richard Lavalle,29,25 Cliffside Drive D, Manchester, CT,6042,L,Mortgage,MI
A00009130,James Hendrickson,28,1010 M Street Northwest, Washington, DC,20001,M,Mortgage,LI
A00007369,Calvin Eichelberger,14,1001 6th Street Northwest, Washington, DC,20001,H,Mortgage,MI
A00006240,Brent Fly,64,1710 Massachusetts Avenue Southeast, Washington, DC,20003,L,Rent,HI
A00003499,Paula Davis,118,3138 P Street Northwest, Washington, DC,20007,L,Mortgage,LI
A00005314,Mary Carmona,119,643 Farragut Street Northwest, Washington, DC,20011,M,Mortgage,MI
A00000327,Christopher Lee,75,4822 Piney Branch Road Northwest, Washington, DC,20011,M,Mortgage,LI
A00008033,William Halcomb,48,5124 E Street Southeast, Washington, DC,20019,L,Rent,LI
A00002089,Antony Ender,102,1418 Paddocks Court, Crownsville, MD,21032,H,Mortgage,MI
A00006915,Alyssa Bowen,106,57 Bremer Drive, Glen Burnie, MD,21061,L,Rent,LI
A00005168,James Thurgood,51,706 James Road, Glen Burnie, MD,21061,M,Mortgage,MI
A00001186,Brian Conley,95,1742 Allerford Drive, Hanover, MD,21076,H,Mortgage,MI
A00006009,Marion Talley,39,1742 Allerford Drive, Hanover, MD,21076,L,Mortgage,MI
A00008288,Marion Coffey,96,8376 Albacore Drive, Pasadena, MD,21122,L,Own,HI
A00007572,Steven Bassett,16,2803 River Drive, Thunderbolt, GA,31404,L,Mortgage,MI
A00007705,Mathew Sims,40,88 Pine Valley Road, Savannah, GA,31404,L,Rent,MI
A00003178,Edward Laderman,104,702 East 53rd Street, Savannah, GA,31405,L,Own,LI
A00009078,Eileen Svoboda,34,201 Lee Boulevard, Savannah, GA,31405,H,Own,HI
A00004301,Maryalice Martinez,97,6 Little Country Place, Savannah, GA,31406,L,Rent,MI
A00007988,Felicita Stoughton,118,110 Oxford Road, Savannah, GA,31419,L,Own,LI
A00000138,Roberto Trudel,60,110 Oxford Road, Savannah, GA,31419,L,Mortgage,MI
A00007245,Dennis Johnson,20,5119 Marla Drive, Panama City, FL,32404,L,Rent,MI
A00008207,Irene Metcalf,104,105 Ridgecrest Court, Panama City, FL,32405,L,Rent,MI
A00007262,Monica Threlkeld,75,1518 Jenks Avenue, Panama City, FL,32405,M,Mortgage,MI
A00002702,Arthur Mitchell,69,4113 Holiday Drive, Panama City, FL,32408,L,Mortgage,HI
A00001482,Doris Yazzie,49,17109 Guava Avenue, Panama City Beach, FL,32413,L,Rent,MI
A00009289,Edward Igtanloc,55,5038 North Cimarron Drive, Beverly Hills, FL,34465,L,Own,MI
A00004865,Ronald Shaver,32,4339 Oak Street, Montgomery, AL,36105,L,Own,LI
A00007672,Cheryl Silva,51,1163 Rosedale Drive, Montgomery, AL,36107,L,Own,MI
A00005466,Margaret Bolen,12,4316 Sunnybrook Drive, Montgomery, AL,36108,L,Rent,MI
A00002020,Nicholas Honokaupu,119,1914 Stratford Downs Drive, Montgomery, AL,36117,L,Rent,HI
A00000583,Phillip Walker,49,7030 Cotton Blossom Lane, Montgomery, AL,36117,M,Rent,MI
